0.003	0.516	INDEF	0.813
0.003	INDEF	INDEF	3.708
0.003	INDEF	4.893	INDEF
0.003	0.659	0.908	INDEF
0.003	INDEF	2.081	1.147
0.003	0.943	2.467	1.163
0.003	INDEF	2.34	7.686
0.003	2.778	1.25	19.44
0.003	18.626	72.142	0.292
0.003	1.529	1.1	1.449
0.003	0.885	0.629	1.467
0.003	INDEF	INDEF	0.818
0.003	0.312	INDEF	0.873
0.004	INDEF	INDEF	1.061
0.003	INDEF	INDEF	4.901
0.004	0.869	0.939	INDEF
0.004	INDEF	INDEF	INDEF
0.004	3.714	INDEF	INDEF
0.004	0.996	INDEF	INDEF
0.004	INDEF	INDEF	INDEF
0.004	0.782	0.86	INDEF
0.004	1.096	5.368	INDEF
0.004	INDEF	36.525	INDEF
0.004	1.876	INDEF	0.865
0.004	2.686	INDEF	INDEF
0.004	0.461	1.75	INDEF
0.004	INDEF	INDEF	0.361
0.004	2.62	2.546	1.593
0.004	INDEF	INDEF	INDEF
0.004	0.76	INDEF	2.065
0.004	INDEF	INDEF	1.647
0.005	2.045	8.474	INDEF
0.006	INDEF	3.748	5.054
0.005	0.629	3.094	INDEF
0.006	1.854	1.417	INDEF
0.005	1.804	INDEF	INDEF
0.006	INDEF	1.727	0.65
0.006	2.153	INDEF	INDEF
0.006	1.59	INDEF	INDEF
0.006	0.668	9.007	INDEF
0.006	INDEF	0.566	INDEF
0.005	INDEF	INDEF	1.348
0.006	INDEF	INDEF	INDEF
0.005	INDEF	0.637	13.101
0.006	INDEF	INDEF	3.235
0.005	INDEF	INDEF	INDEF
0.005	0.726	1.764	3.932
0.005	1.017	INDEF	INDEF
0.005	3.216	INDEF	0.778
0.005	0.606	INDEF	0.67
0.005	19.818	INDEF	2.779
0.005	1.147	INDEF	INDEF
0.005	0.825	6.867	1.602
0.005	16.966	INDEF	INDEF
0.005	1.831	9.888	0.479
0.006	0.895	0.319	INDEF
0.006	1.848	INDEF	INDEF
0.006	INDEF	INDEF	INDEF
0.006	INDEF	1.348	1.063
0.006	0.61	INDEF	1.481
0.006	INDEF	2.078	INDEF
0.007	INDEF	INDEF	INDEF
0.006	INDEF	0.747	1.534
0.006	9.171	INDEF	INDEF
0.006	1.444	INDEF	INDEF
0.005	1.353	INDEF	1.227
0.006	INDEF	INDEF	0.353
0.005	INDEF	INDEF	0.461
0.006	INDEF	INDEF	0.875
0.006	INDEF	1.397	0.459
0.005	INDEF	INDEF	27.907
0.005	INDEF	INDEF	1.586
0.006	3.015	INDEF	2.54
0.006	INDEF	INDEF	INDEF
0.005	INDEF	INDEF	0.771
0.005	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	4.417
0.004	INDEF	INDEF	92.477
0.005	INDEF	INDEF	INDEF
0.005	INDEF	INDEF	2.546
0.005	INDEF	INDEF	1.435
0.005	1.731	INDEF	1.068
0.004	INDEF	INDEF	1.069
0.005	INDEF	INDEF	INDEF
0.005	0.589	INDEF	INDEF
0.005	7.709	10.297	INDEF
0.005	4.893	INDEF	22.507
0.004	INDEF	INDEF	0.485
0.005	INDEF	INDEF	6.829
0.004	INDEF	INDEF	9.448
0.005	INDEF	0.145	0.899
0.005	INDEF	5.104	0.587
0.005	INDEF	INDEF	1.235
0.005	2.487	INDEF	3.843
0.004	INDEF	0.599	0.849
0.004	INDEF	0.843	0.903
0.005	INDEF	INDEF	50.129
0.004	0.398	0.858	0.396
0.004	INDEF	0.484	0.253
0.004	2.48	0.654	0.608
0.004	3.006	INDEF	0.464
0.004	0.342	INDEF	0.711
0.005	0.842	INDEF	0.57
0.005	0.835	2.158	0.437
0.004	0.587	1.069	0.297
0.004	1.172	0.695	INDEF
0.004	0.529	INDEF	INDEF
0.005	1.288	INDEF	0.481
0.004	0.416	10.467	0.569
0.004	0.49	INDEF	4.958
0.004	INDEF	INDEF	0.898
0.004	0.607	0.682	0.853
0.005	41.702	INDEF	2.398
0.004	INDEF	INDEF	INDEF
0.004	0.739	2.079	INDEF
0.004	0.466	11.659	INDEF
0.004	3.554	0.538	INDEF
0.004	1.031	INDEF	INDEF
