0.004	8.457	INDEF	INDEF
0.004	26.852	7.565	INDEF
0.004	INDEF	INDEF	INDEF
0.004	INDEF	0.653	INDEF
0.004	INDEF	5.425	INDEF
0.004	INDEF	INDEF	1.82
0.004	1.366	INDEF	INDEF
0.004	INDEF	INDEF	INDEF
0.004	1.18	INDEF	INDEF
0.004	0.562	INDEF	INDEF
0.004	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	INDEF
0.004	0.697	INDEF	0.902
0.004	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	0.503
0.004	INDEF	INDEF	INDEF
0.003	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	0.293
0.004	INDEF	7.715	0.351
