counter,frame,x,y,w,h
1,509,333,30,12,10
2,509,424,30,12,10
1,510,333,32,12,10
2,510,424,30,12,10
1,511,334,32,12,10
2,511,424,31,12,10
1,512,335,29,12,10
2,512,427,29,12,10
1,513,337,32,12,10
2,513,427,30,12,10
1,514,336,33,12,10
2,514,425,32,12,10
1,515,337,33,12,10
2,515,424,32,12,10
1,516,337,31,12,10
2,516,425,30,12,10
1,517,337,33,12,10
2,517,425,32,12,10
1,518,338,35,12,10
2,518,425,34,12,10
1,519,337,33,12,10
2,519,424,32,12,10
1,520,338,34,12,10
2,520,426,32,12,10
1,521,340,35,12,10
2,521,428,34,12,10
1,522,339,35,12,10
2,522,426,34,12,10
1,523,338,35,12,10
2,523,426,33,12,10
1,524,340,34,12,10
2,524,427,33,12,10
1,525,339,34,12,10
2,525,427,32,12,10
1,526,338,35,12,10
2,526,427,33,12,10
1,527,340,36,12,10
2,527,428,34,12,10
1,528,341,37,12,10
2,528,428,36,12,10
1,529,339,36,12,10
2,529,427,33,12,10
1,530,339,36,12,10
2,530,427,33,12,10
1,531,341,38,12,10
2,531,429,35,12,10
1,532,341,38,12,10
2,532,429,36,12,10
1,533,341,37,12,10
2,533,430,34,12,10
1,534,341,38,12,10
2,534,429,35,12,10
1,535,340,39,12,10
2,535,428,36,12,10
1,536,340,38,12,10
2,536,429,35,12,10
1,537,342,39,12,10
2,537,430,35,12,10
1,538,342,39,12,10
2,538,430,35,12,10
1,539,343,37,12,10
2,539,431,34,12,10
1,540,340,39,12,10
2,540,430,35,12,10
1,541,341,40,12,10
2,541,429,35,12,10
1,542,342,39,12,10
2,542,431,35,12,10
1,543,342,38,12,10
2,543,431,34,12,10
1,544,340,39,12,10
2,544,431,34,12,10
1,545,338,40,12,10
2,545,432,34,12,10
1,546,339,41,12,10
2,546,432,37,12,10
1,547,341,40,12,10
2,547,433,35,12,10
1,548,341,36,12,10
2,548,433,32,12,10
1,549,339,37,12,10
2,549,432,32,12,10
1,550,340,38,12,10
2,550,430,34,12,10
1,551,342,39,12,10
2,551,432,35,12,10
1,552,342,38,12,10
2,552,431,34,12,10
1,553,341,37,12,10
2,553,430,34,12,10
1,554,341,38,12,10
2,554,430,36,12,10
1,555,341,40,12,10
2,555,431,37,12,10
1,556,342,40,12,10
2,556,432,38,12,10
1,557,342,38,12,10
2,557,431,36,12,10
1,558,343,40,12,10
2,558,433,39,12,10
1,559,343,41,12,10
2,559,432,41,12,10
1,560,343,40,12,10
2,560,433,40,12,10
1,561,344,40,12,10
2,561,434,40,12,10
1,562,345,42,12,10
2,562,434,42,12,10
1,563,344,40,12,10
2,563,434,42,12,10
1,564,342,41,12,10
2,564,433,42,12,10
1,565,344,44,12,10
2,565,434,45,12,10
1,566,345,40,12,10
2,566,435,42,12,10
1,567,345,38,12,10
2,567,434,41,12,10
1,568,344,44,12,10
2,568,434,45,12,10
1,569,343,43,12,10
2,569,435,46,12,10
1,570,345,39,12,10
2,570,435,42,12,10
1,571,344,39,12,10
2,571,435,41,12,10
1,572,346,41,12,10
2,572,435,44,12,10
1,573,346,43,12,10
2,573,436,45,12,10
1,574,343,42,12,10
2,574,434,44,12,10
1,575,346,42,12,10
2,575,436,44,12,10
1,576,345,41,12,10
2,576,434,44,12,10
1,577,344,44,12,10
2,577,434,46,12,10
1,578,346,43,12,10
2,578,437,45,12,10
1,579,346,44,12,10
2,579,437,46,12,10
1,580,343,45,12,10
2,580,437,46,12,10
1,581,344,42,12,10
2,581,439,44,12,10
1,582,344,44,12,10
2,582,439,45,12,10
1,583,342,46,12,10
2,583,437,47,12,10
1,584,344,44,12,10
2,584,439,44,12,10
1,585,343,45,12,10
2,585,438,46,12,10
1,586,344,47,12,10
2,586,435,47,12,10
1,587,346,46,12,10
2,587,437,46,12,10
1,588,347,46,12,10
2,588,438,47,12,10
1,589,343,47,12,10
2,589,435,47,12,10
1,590,347,46,12,10
2,590,438,46,12,10
1,591,347,48,12,10
2,591,438,48,12,10
1,592,345,49,12,10
2,592,436,50,12,10
1,593,346,49,12,10
2,593,437,48,12,10
1,594,346,47,12,10
2,594,438,47,12,10
1,595,346,50,12,10
2,595,437,50,12,10
1,596,348,49,12,10
2,596,440,49,12,10
1,597,347,50,12,10
2,597,439,51,12,10
1,598,345,52,12,10
2,598,436,51,12,10
1,599,346,49,12,10
2,599,438,49,12,10
