counter,frame,x,y,w,h
2,649,446,62,9,9
1,650,353,63,8,8
2,650,449,63,9,9
1,651,352,63,8,8
2,651,451,62,9,9
1,652,351,64,8,8
2,652,450,63,9,9
1,653,353,62,8,8
2,653,452,61,9,9
1,654,353,64,8,8
2,654,451,63,9,9
1,655,351,64,8,8
2,655,449,63,9,9
1,656,354,64,8,8
2,656,453,64,9,9
1,657,353,66,8,8
2,657,452,65,9,9
1,658,354,66,8,8
2,658,450,66,9,9
1,659,354,65,8,8
2,659,449,65,9,9
1,660,353,65,8,8
2,660,448,64,9,9
1,661,355,64,8,8
2,661,450,64,9,9
1,662,356,65,8,8
2,662,452,66,9,9
1,663,354,67,8,8
2,663,448,66,9,9
1,664,354,67,8,8
2,664,448,66,9,9
1,665,355,66,8,8
2,665,450,64,9,9
1,666,353,67,8,8
2,666,449,66,9,9
1,667,355,66,8,8
2,667,450,65,9,9
1,668,356,67,8,8
2,668,450,65,9,9
1,669,353,67,8,8
2,669,448,66,9,9
1,670,355,67,8,8
2,670,450,66,9,9
1,671,355,68,8,8
2,671,451,67,9,9
1,672,352,67,8,8
2,672,448,67,9,9
1,673,356,68,8,8
2,673,452,69,9,9
1,674,357,71,8,8
2,674,453,70,9,9
1,675,355,70,8,8
2,675,451,70,9,9
1,676,355,69,8,8
2,676,451,69,9,9
1,677,356,70,8,8
2,677,452,70,9,9
1,678,356,70,8,8
2,678,452,69,9,9
1,679,357,69,8,8
2,679,453,69,9,9
1,680,357,71,8,8
2,680,452,70,9,9
1,681,357,73,8,8
2,681,453,72,9,9
1,682,358,71,8,8
2,682,453,71,9,9
1,683,358,71,8,8
2,683,453,71,9,9
1,684,357,72,8,8
2,684,453,73,9,9
1,685,357,73,8,8
2,685,453,74,9,9
1,686,357,72,8,8
2,686,454,73,9,9
1,687,355,72,8,8
2,687,457,73,9,9
1,688,356,71,8,8
2,688,458,72,9,9
1,689,355,72,8,8
2,689,456,73,9,9
1,690,355,72,8,8
2,690,456,73,9,9
1,691,355,72,8,8
2,691,457,73,9,9
1,692,356,73,8,8
2,692,458,74,9,9
1,693,356,73,8,8
2,693,455,75,9,9
1,694,360,73,8,8
2,694,456,74,9,9
1,695,359,75,8,8
2,695,455,77,9,9
1,696,358,74,8,8
2,696,455,75,9,9
1,697,360,74,8,8
2,697,457,76,9,9
1,698,361,75,8,8
2,698,457,78,9,9
1,699,361,75,8,8
2,699,457,78,9,9
1,700,360,74,8,8
2,700,457,77,9,9
1,701,360,76,8,8
2,701,456,79,9,9
1,702,360,76,8,8
2,702,456,79,9,9
1,703,360,75,8,8
2,703,456,78,9,9
1,704,360,76,8,8
2,704,457,79,9,9
1,705,360,74,8,8
2,705,457,77,9,9
1,706,360,74,8,8
2,706,457,77,9,9
1,707,359,76,8,8
2,707,456,78,9,9
1,708,361,77,8,8
2,708,457,79,9,9
1,709,361,76,8,8
2,709,458,80,9,9
1,710,359,77,8,8
2,710,458,80,9,9
1,711,360,78,8,8
2,711,458,80,9,9
1,712,361,77,8,8
2,712,460,79,9,9
1,713,361,77,8,8
2,713,458,78,9,9
1,714,360,78,8,8
2,714,458,80,9,9
1,715,361,76,8,8
2,715,459,78,9,9
1,716,360,74,8,8
2,716,458,76,9,9
1,717,362,77,8,8
2,717,459,79,9,9
1,718,361,79,8,8
2,718,460,81,9,9
1,719,361,78,8,8
2,719,459,79,9,9
1,720,361,77,8,8
2,720,459,79,9,9
1,721,362,78,8,8
2,721,460,80,9,9
1,722,362,78,8,8
2,722,460,80,9,9
1,723,360,76,8,8
2,723,462,77,9,9
1,724,360,77,8,8
2,724,462,77,9,9
1,725,360,77,8,8
2,725,463,78,9,9
1,726,360,79,8,8
2,726,462,80,9,9
1,727,360,77,8,8
2,727,462,78,9,9
1,728,359,75,8,8
2,728,463,77,9,9
1,729,361,76,8,8
2,729,460,78,9,9
1,730,360,76,8,8
2,730,459,78,9,9
1,731,364,76,8,8
2,731,463,78,9,9
1,732,364,76,8,8
2,732,463,78,9,9
1,733,362,78,8,8
2,733,461,80,9,9
1,734,364,78,8,8
2,734,461,79,9,9
1,735,361,77,8,8
2,735,460,77,9,9
1,736,363,78,8,8
2,736,462,78,9,9
1,737,365,79,8,8
2,737,465,80,9,9
1,738,363,80,8,8
2,738,463,81,9,9
1,739,363,77,8,8
2,739,462,78,9,9
1,740,364,77,8,8
2,740,462,77,9,9
1,741,363,80,8,8
2,741,463,80,9,9
1,742,365,79,8,8
2,742,464,79,9,9
1,743,366,76,8,8
2,743,465,76,9,9
1,744,364,80,8,8
2,744,463,79,9,9
1,745,365,81,8,8
2,745,465,80,9,9
1,746,366,77,8,8
2,746,465,78,9,9
1,747,365,78,8,8
2,747,465,78,9,9
1,748,364,79,8,8
2,748,465,80,9,9
1,749,364,79,8,8
2,749,464,80,9,9
1,750,363,76,8,8
2,750,463,76,9,9
1,751,365,75,8,8
2,751,464,75,9,9
1,752,363,76,8,8
2,752,464,76,9,9
1,753,364,78,8,8
2,753,465,78,9,9
1,754,365,77,8,8
2,754,465,77,9,9
1,755,366,77,8,8
2,755,467,77,9,9
1,756,365,76,8,8
2,756,466,76,9,9
1,757,367,76,8,8
2,757,468,77,9,9
1,758,365,76,8,8
2,758,467,77,9,9
1,759,362,75,8,8
2,759,468,76,9,9
1,760,364,74,8,8
2,760,470,76,9,9
1,761,366,74,8,8
2,761,472,75,9,9
1,762,366,75,8,8
2,762,472,76,9,9
1,763,364,76,8,8
2,763,471,76,9,9
1,764,365,76,8,8
2,764,472,76,9,9
1,765,366,76,8,8
2,765,468,77,9,9
1,766,369,75,8,8
2,766,469,77,9,9
1,767,368,76,8,8
2,767,469,78,9,9
1,768,367,76,8,8
2,768,468,77,9,9
1,769,370,75,8,8
2,769,471,77,9,9
1,770,369,77,8,8
2,770,471,79,9,9
1,771,368,79,8,8
2,771,471,80,9,9
1,772,369,76,8,8
2,772,471,78,9,9
1,773,369,76,8,8
2,773,472,78,9,9
1,774,370,78,8,8
2,774,472,81,9,9
1,775,371,77,8,8
2,775,472,79,9,9
1,776,371,78,8,8
2,776,473,79,9,9
1,777,369,79,8,8
2,777,470,80,9,9
1,778,372,78,8,8
2,778,474,79,9,9
1,779,371,78,8,8
2,779,474,79,9,9
1,780,370,80,8,8
2,780,473,81,9,9
1,781,372,78,8,8
2,781,474,80,9,9
1,782,372,80,8,8
2,782,473,82,9,9
1,783,371,80,8,8
2,783,473,82,9,9
1,784,373,78,8,8
2,784,476,80,9,9
1,785,372,79,8,8
2,785,474,80,9,9
1,786,371,82,8,8
2,786,474,82,9,9
1,787,373,80,8,8
2,787,476,81,9,9
1,788,373,78,8,8
2,788,476,80,9,9
1,789,373,79,8,8
2,789,475,80,9,9
1,790,374,79,8,8
2,790,476,80,9,9
1,791,374,80,8,8
2,791,476,82,9,9
1,792,373,80,8,8
2,792,476,82,9,9
1,793,375,76,8,8
2,793,478,77,9,9
1,794,373,78,8,8
2,794,476,79,9,9
1,795,370,79,8,8
2,795,478,79,9,9
1,796,372,76,8,8
2,796,480,76,9,9
1,797,371,77,8,8
2,797,480,77,9,9
1,798,372,79,8,8
2,798,480,79,9,9
1,799,371,79,8,8
2,799,479,79,9,9
1,800,368,79,8,8
2,800,477,79,9,9
1,801,373,82,8,8
2,801,477,81,9,9
1,802,376,83,8,8
2,802,479,82,9,9
1,803,374,83,8,8
2,803,478,82,9,9
1,804,375,83,8,8
2,804,479,83,9,9
1,805,374,82,8,8
2,805,477,81,9,9
1,806,374,82,8,8
2,806,477,81,9,9
1,807,376,81,8,8
2,807,479,80,9,9
1,808,376,82,8,8
2,808,479,81,9,9
1,809,373,85,8,8
2,809,477,84,9,9
1,810,376,85,8,8
2,810,481,83,9,9
1,811,375,83,8,8
2,811,479,82,9,9
1,812,375,84,8,8
2,812,478,83,9,9
1,813,378,86,8,8
2,813,481,85,9,9
1,814,378,88,8,8
2,814,482,86,9,9
1,815,378,87,8,8
2,815,482,85,9,9
1,816,378,86,8,8
2,816,482,84,9,9
1,817,377,86,8,8
2,817,482,85,9,9
1,818,376,85,8,8
2,818,481,84,9,9
1,819,378,84,8,8
2,819,483,84,9,9
1,820,378,88,8,8
2,820,483,87,9,9
1,821,377,87,8,8
2,821,482,86,9,9
1,822,376,86,8,8
2,822,482,86,9,9
1,823,377,88,8,8
2,823,483,87,9,9
1,824,379,87,8,8
2,824,484,87,9,9
1,825,379,87,8,8
2,825,483,87,9,9
1,826,378,87,8,8
2,826,482,87,9,9
1,827,380,86,8,8
2,827,484,87,9,9
1,828,378,88,8,8
2,828,483,88,9,9
1,829,379,87,8,8
2,829,484,87,9,9
1,830,377,88,8,8
2,830,486,87,9,9
1,831,374,87,8,8
2,831,485,87,9,9
1,832,379,87,8,8
2,832,489,88,9,9
1,833,378,87,8,8
2,833,489,88,9,9
1,834,377,91,8,8
2,834,488,91,9,9
1,835,377,90,8,8
2,835,488,90,9,9
1,836,378,88,8,8
2,836,489,89,9,9
1,837,381,89,8,8
2,837,487,90,9,9
1,838,381,91,8,8
2,838,487,91,9,9
1,839,381,92,8,8
2,839,487,92,9,9
1,840,381,90,8,8
2,840,487,90,9,9
1,841,379,92,8,8
2,841,486,92,9,9
1,842,380,92,8,8
2,842,487,92,9,9
1,843,379,91,8,8
2,843,486,90,9,9
1,844,380,90,8,8
2,844,486,90,9,9
1,845,380,93,8,8
2,845,487,93,9,9
1,846,381,94,8,8
2,846,487,94,9,9
1,847,380,92,8,8
2,847,486,92,9,9
1,848,380,92,8,8
2,848,487,92,9,9
1,849,382,96,8,8
2,849,489,96,9,9
1,850,381,96,8,8
2,850,488,96,9,9
1,851,381,94,8,8
2,851,488,94,9,9
1,852,382,96,8,8
2,852,489,96,9,9
1,853,383,98,8,8
2,853,490,97,9,9
1,854,383,95,8,8
2,854,489,94,9,9
1,855,383,94,8,8
2,855,489,93,9,9
1,856,382,96,8,8
2,856,489,96,9,9
1,857,382,97,8,8
2,857,490,97,9,9
1,858,383,96,8,8
2,858,490,96,9,9
1,859,383,95,8,8
2,859,489,95,9,9
1,860,381,95,8,8
2,860,489,96,9,9
1,861,383,98,8,8
2,861,491,99,9,9
1,862,384,97,8,8
2,862,492,99,9,9
1,863,384,97,8,8
2,863,491,98,9,9
1,864,383,98,8,8
2,864,491,100,9,9
1,865,384,99,8,8
2,865,492,101,9,9
1,866,382,96,8,8
2,866,494,97,9,9
1,867,381,97,8,8
2,867,494,98,9,9
1,868,381,97,8,8
2,868,495,98,9,9
1,869,382,96,8,8
2,869,496,99,9,9
1,870,380,96,8,8
2,870,494,99,9,9
1,871,381,96,8,8
2,871,494,99,9,9
1,872,381,96,8,8
2,872,492,100,9,9
1,873,383,96,8,8
2,873,492,99,9,9
1,874,385,97,8,8
2,874,494,100,9,9
1,875,384,101,8,8
2,875,492,102,9,9
1,876,386,100,8,8
2,876,495,103,9,9
1,877,385,97,8,8
2,877,494,99,9,9
1,878,384,99,8,8
2,878,493,101,9,9
1,879,383,103,8,8
2,879,493,106,9,9
1,880,384,102,8,8
2,880,493,105,9,9
1,881,385,100,8,8
2,881,495,102,9,9
1,882,386,102,8,8
