counter,time,x,y,w,h
1,74,407,132,13,11
2,74,522,130,15,11
1,74,406,129,13,11
2,74,522,127,15,11
1,74,401,127,13,11
2,74,522,126,15,11
1,74,401,128,13,11
2,74,522,129,15,11
1,74,402,127,13,11
2,74,523,127,15,11
1,74,404,126,13,11
2,74,525,126,15,11
1,74,403,128,13,11
2,74,524,128,15,11
1,75,402,132,13,11
2,75,523,132,15,11
1,75,404,130,13,11
2,75,522,130,15,11
1,75,407,129,13,11
2,75,522,130,15,11
1,75,405,129,13,11
2,75,520,131,15,11
1,75,407,129,13,11
2,75,522,131,15,11
1,75,406,128,13,11
2,75,522,130,15,11
1,75,405,131,13,11
2,75,522,132,15,11
1,75,407,128,13,11
2,75,523,129,15,11
1,75,406,128,13,11
2,75,522,130,15,11
1,75,406,130,13,11
2,75,521,131,15,11
1,75,406,130,13,11
2,75,522,130,15,11
1,76,408,131,13,11
2,76,524,131,15,11
1,76,408,132,13,11
2,76,524,133,15,11
1,76,407,129,13,11
2,76,523,129,15,11
1,76,405,130,13,11
2,76,522,131,15,11
1,76,406,133,13,11
2,76,523,134,15,11
1,76,407,133,13,11
2,76,524,133,15,11
1,76,409,132,13,11
2,76,525,131,15,11
1,76,407,133,13,11
2,76,524,133,15,11
1,76,407,135,13,11
2,76,524,135,15,11
1,77,408,134,13,11
2,77,524,133,15,11
1,77,409,133,13,11
2,77,526,132,15,11
1,77,409,133,13,11
2,77,526,133,15,11
1,77,408,133,13,11
2,77,526,133,15,11
1,77,406,134,13,11
2,77,525,133,15,11
1,77,410,135,13,11
2,77,528,134,15,11
1,77,411,134,13,11
2,77,529,133,15,11
1,77,410,134,13,11
2,77,528,133,15,11
1,77,409,135,13,11
2,77,527,134,15,11
1,77,409,137,13,11
2,77,527,136,15,11
1,77,411,136,13,11
2,77,530,136,15,11
1,78,409,134,13,11
2,78,534,134,15,11
1,78,409,137,13,11
2,78,533,137,15,11
1,78,409,139,13,11
2,78,533,139,15,11
1,78,410,138,13,11
2,78,535,138,15,11
1,78,409,137,13,11
2,78,533,137,15,11
1,78,412,138,13,11
2,78,537,139,15,11
1,78,409,139,13,11
2,78,531,141,15,11
1,78,411,141,13,11
2,78,529,142,15,11
1,78,413,140,13,11
2,78,532,140,15,11
1,78,414,139,13,11
2,78,533,140,15,11
1,79,413,141,13,11
2,79,532,142,15,11
1,79,413,141,13,11
2,79,531,142,15,11
1,79,415,142,13,11
2,79,534,143,15,11
1,79,414,143,13,11
2,79,532,144,15,11
1,79,414,140,13,11
2,79,534,141,15,11
1,79,415,141,13,11
2,79,535,142,15,11
1,79,413,143,13,11
2,79,533,144,15,11
1,79,415,142,13,11
2,79,535,143,15,11
1,79,414,141,13,11
2,79,534,142,15,11
1,79,415,143,13,11
2,79,535,145,15,11
1,80,416,143,13,11
