counter,frame,x,y,w,h
2,605,440,51,11,10
1,606,348,51,9,8
2,606,439,53,11,10
1,607,348,51,9,8
2,607,439,52,11,10
1,608,346,52,9,8
2,608,438,54,11,10
1,609,347,53,9,8
2,609,439,54,11,10
1,610,349,52,9,8
2,610,441,54,11,10
1,611,348,52,9,8
2,611,441,54,11,10
1,612,346,53,9,8
2,612,437,55,11,10
1,613,346,52,9,8
2,613,437,54,11,10
1,614,347,52,9,8
2,614,439,54,11,10
1,615,349,53,9,8
2,615,441,55,11,10
1,616,346,51,9,8
2,616,443,52,11,10
1,617,347,52,9,8
2,617,442,54,11,10
1,618,348,54,9,8
2,618,444,57,11,10
1,619,347,53,9,8
2,619,443,55,11,10
1,620,348,53,9,8
2,620,444,55,11,10
1,621,347,55,9,8
2,621,443,58,11,10
1,622,348,54,9,8
2,622,441,57,11,10
1,623,349,54,9,8
2,623,440,57,11,10
1,624,351,55,9,8
2,624,442,58,11,10
1,625,350,57,9,8
2,625,442,59,11,10
1,626,349,54,9,8
2,626,441,57,11,10
1,627,348,57,9,8
2,627,440,59,11,10
1,628,350,57,9,8
2,628,442,60,11,10
1,629,351,56,9,8
2,629,443,59,11,10
1,630,348,57,9,8
2,630,440,60,11,10
1,631,350,58,9,8
2,631,443,60,11,10
1,632,350,59,9,8
2,632,443,62,11,10
1,633,350,57,9,8
2,633,442,59,11,10
1,634,349,58,9,8
2,634,442,60,11,10
1,635,351,60,9,8
2,635,444,62,11,10
1,636,350,58,9,8
2,636,443,60,11,10
1,637,349,57,9,8
2,637,442,58,11,10
1,638,350,59,9,8
2,638,444,61,11,10
1,639,352,60,9,8
2,639,445,61,11,10
1,640,350,59,9,8
2,640,443,61,11,10
1,641,351,58,9,8
2,641,443,60,11,10
1,642,350,61,9,8
2,642,443,62,11,10
1,643,349,61,9,8
2,643,441,63,11,10
1,644,353,60,9,8
2,644,446,62,11,10
1,645,351,63,9,8
2,645,444,65,11,10
1,646,350,63,9,8
2,646,443,65,11,10
1,647,351,62,9,8
2,647,445,64,11,10
1,648,353,61,9,8
2,648,446,62,11,10
1,649,350,62,9,8
2,649,444,63,11,10
1,650,353,62,9,8
2,650,446,64,11,10
1,651,350,62,9,8
2,651,448,63,11,10
1,652,350,63,9,8
2,652,448,64,11,10
1,653,352,61,9,8
2,653,450,62,11,10
1,654,350,63,9,8
2,654,449,64,11,10
1,655,350,63,9,8
2,655,447,64,11,10
1,656,352,63,9,8
2,656,450,64,11,10
1,657,351,65,9,8
2,657,449,65,11,10
1,658,353,66,9,8
2,658,447,66,11,10
1,659,352,65,9,8
2,659,447,65,11,10
1,660,351,65,9,8
2,660,446,66,11,10
1,661,354,64,9,8
2,661,448,64,11,10
1,662,354,66,9,8
2,662,449,66,11,10
1,663,352,67,9,8
2,663,446,67,11,10
1,664,352,67,9,8
2,664,447,67,11,10
1,665,354,65,9,8
2,665,448,64,11,10
1,666,351,66,9,8
2,666,447,67,11,10
1,667,354,65,9,8
2,667,448,65,11,10
1,668,353,65,9,8
2,668,448,66,11,10
1,669,352,66,9,8
2,669,445,66,11,10
