ICAO,CALLSIGN,ALTITUDE,LONGITUDE,LATITUDE,TIMESTAMP,DISTANCE,BHATDOTRHAT,BHATDOTRHATV,DF,TC,ALTCOR,ARCANG,T,AS,M,RP,RSURF,H,PBARO,VRATE,GS,HDNG,MHDNG,ROLL,TRACK,RTRACK
4066cd,TOM3KM,2700.0,-3.2305841694914057,50.762855201663,479.9573195,14.528249181012328,0.23523336176660742,0.05198112930521384,4,27,-75.0,0.002279107208206595,0.0,0.0,0.0,6366.197193123147,6365.351373123148,0.8458199999999999,1010.0,-896.0,153.0,-167.0,-176.13,-0.9,256.816,-0.094
4066cd,TOM3KM,2700.0,-3.230889196509031,50.76277103177652,480.25453125,14.505169729594389,0.23509833533418092,0.05200686488842965,4,27,-75.0,0.0022754764442568776,0.0,0.0,0.0,6366.197223955807,6365.351403955808,0.8458199999999999,1010.0,-896.0,153.0,-167.0,-176.13,-0.9,256.816,-0.094
4066cd,TOM3KM,2700.0,-3.2309723,50.7627481,480.3355055,14.49888181779757,0.2351186484788668,0.05198920288525866,17,11,-75.0,0.002274487255950038,0.0,0.0,0.0,6366.197232356052,6365.351412356053,0.8458199999999999,1010.0,-896.0,153.0,-167.0,-176.13,-0.9,256.816,-0.094
4066cd,TOM3KM,2694.4642727679548,-3.2312257034497742,50.76271716635623,480.55693625,14.480626006197314,0.23517419644457993,0.0519409046841805,4,27,-75.0,0.0022716296200659225,0.0,0.0,0.0,6366.195556406994,6365.351423696655,0.8441327103396726,1010.0,-896.0,153.0,-167.0,-176.13,-0.9,256.816,-0.094
4066cd,TOM3KM,2692.877247170646,-3.2312983511335163,50.76270829805719,480.62041775,14.475392287284732,0.23519012137002693,0.051927058177985014,17,19,-75.0,0.002270810370651026,0.0,0.0,0.0,6366.195075932805,6365.351426947867,0.8436489849376129,1010.0,-896.0,152.0,-167.0,-176.13,-0.9,256.816,-0.094
4066cd,TOM3KM,2691.9234168243734,-3.2313420136714477,50.76270296805322,480.65857125,14.472246730003773,0.23519969253080672,0.051918736183795694,5,24,-75.0,0.002270317987318067,0.0,0.0,0.0,6366.194787159351,6365.351428901903,0.8433582574480689,1010.0,-896.0,152.0,-167.0,-176.13,-0.9,256.816,-0.094
4066cd,TOM3KM,2687.0108536685966,-3.2315668911624664,50.7626755166503,480.85507525,14.456045999063301,0.23524898738915184,0.05187587497457039,4,27,-75.0,0.002267782039254068,0.0,0.0,0.0,6366.193299874077,6365.351438965879,0.8418609081981883,1010.0,-896.0,152.0,-167.0,-176.13,-0.9,256.816,-0.094
4066cd,TOM3KM,2685.47728392037,-3.2316370918512614,50.76266694706255,480.9164185,14.450988567722137,0.23526437591467383,0.051862494860817954,20,27,-75.0,0.002266990384651226,0.0,0.0,0.0,6366.19283558372,6365.351442107581,0.8413934761389287,1010.0,-896.0,152.0,-167.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2685.2572355707325,-3.231647164784514,50.76266571743237,480.9252205,14.450262888683858,0.23526658397834255,0.05186057497947405,20,27,-75.0,0.0022668767919769837,0.0,0.0,0.0,6366.192768963779,6365.351442558376,0.8413264054019592,1010.0,-896.0,152.0,-167.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2684.9974812688897,-3.2316590552974356,50.76266426592533,480.93561075,14.449406266708456,0.23526919046931433,0.05185830867100627,21,31,-75.0,0.002266742702419662,0.0,0.0,0.0,6366.192690322805,6365.351443090514,0.8412472322907576,1010.0,-896.0,152.0,-167.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2680.5012337407475,-3.2318648755242836,50.762639140894144,481.115462,14.434578468238415,0.23531430783024307,0.05181907973899633,17,19,-75.0,0.002264421663513354,0.0,0.0,0.0,6366.191329077662,6365.351452301617,0.8398767760441798,1010.0,-896.0,152.0,-167.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2679.4497853766093,-3.2319130066246005,50.76263326540068,481.15752025,14.431110984665168,0.2353150419387566,0.05182049477946399,4,4,-75.0,0.002263878888111007,0.0,0.0,0.0,6366.191010750218,6365.351454455636,0.8395562945827905,1010.0,-896.0,152.0,-167.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2675.0,-3.2321167,50.7626084,481.335513,14.416436409836642,0.23528029729810904,0.05186731199249532,17,11,-75.0,0.0022615818337519697,0.0,0.0,0.0,6366.189663571556,6365.3514635715555,0.8382,1010.0,-896.0,152.0,-167.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2675.0,-3.2321167,50.7626084,481.335513,14.416436409836642,0.23528029729810904,0.05186731199249532,17,11,-75.0,0.0022615818337519697,0.0,0.0,0.0,6366.189663571556,6365.3514635715555,0.8382,1010.0,-896.0,152.0,-167.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2675.0,-3.232389058138468,50.76255952692983,481.62042725,14.396508865056354,0.23522468130683064,0.051942252635515405,17,19,-75.0,0.0022584470008181223,0.0,0.0,0.0,6366.189681474506,6365.351481474506,0.8382,1010.0,-896.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2675.0,-3.23241826324024,50.762554286245646,481.65097875,14.394372024289861,0.23521871757578686,0.05195028855879839,11,14,-75.0,0.0022581108510875336,0.0,0.0,0.0,6366.189683394249,6365.351483394249,0.8382,1010.0,-896.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2675.0,-3.2325195751135847,50.762536106424314,481.75696125,14.386959369378156,0.23521534773745906,0.051952740081899984,4,4,-75.0,0.0022569447548624003,0.0,0.0,0.0,6366.189690053794,6365.351490053794,0.8382,1010.0,-896.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2675.0,-3.2326162158339646,50.762518764813976,481.85805725,14.37988848728957,0.2352244888260222,0.05193693934883169,5,24,-75.0,0.002255832423449422,0.0,0.0,0.0,6366.189696406291,6365.351496406291,0.8382,1010.0,-896.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2675.0,-3.2326528,50.7625122,481.896328,14.377211744780553,0.23522794926278653,0.05193095784704058,17,11,-75.0,0.0022554113409394986,0.0,0.0,0.0,6366.189698811082,6365.351498811082,0.8382,1010.0,-896.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2673.6972894388186,-3.232720280407069,50.76250265894785,481.95542325,14.372319389610247,0.2352332926484191,0.051921721593668986,20,4,-75.0,0.00225464505693299,0.0,0.0,0.0,6366.189305242092,6365.35150230827,0.8378029338209518,1010.0,-896.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2671.5200007495037,-3.2328330639611758,50.76248671248549,482.05419225,14.364142539054313,0.23524222332991288,0.05190628455754072,4,4,-75.0,0.00225336432616294,0.0,0.0,0.0,6366.188647449534,6365.351508153305,0.8371392962284486,1010.0,-896.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2668.737145445767,-3.232977215865909,50.76246633085325,482.18043175,14.353691471150864,0.23525363789082196,0.05188655403761732,17,19,-75.0,0.0022517273873253925,0.0,0.0,0.0,6366.187806705945,6365.351515624013,0.8362910819318697,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2668.737145445767,-3.232977215865909,50.76246633085325,482.18043175,14.353691471150864,0.23525363789082196,0.05188655403761732,17,19,-75.0,0.0022517273873253925,0.0,0.0,0.0,6366.187806705945,6365.351515624013,0.8362910819318697,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2664.8443841166754,-3.2331788609027563,50.76243782026928,482.35702025,14.339072129308823,0.23526960500245578,0.051858954253734366,4,4,-75.0,0.002249437576498241,0.0,0.0,0.0,6366.1866306425945,6365.351526074316,0.8351045682787627,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2659.02541261328,-3.233480283626632,50.76239520212198,482.620988,14.317218867219138,0.2352934729357129,0.0518176975872353,11,14,-75.0,0.0022460147249990267,0.0,0.0,0.0,6366.184872641386,6365.351541695622,0.8333309457645276,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2658.288644124215,-3.2335184482343657,50.76238980602957,482.65441025,14.314451918647288,0.23529649497167107,0.0518124738785743,4,4,-75.0,0.0022455813410022334,0.0,0.0,0.0,6366.184650052241,6365.3515436735115,0.8331063787290607,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2658.288644124215,-3.2335184482343657,50.76238980602957,482.65441025,14.314451918647288,0.23529649497167107,0.0518124738785743,4,4,-75.0,0.0022455813410022334,0.0,0.0,0.0,6366.184650052241,6365.3515436735115,0.8331063787290607,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2656.281030039702,-3.2336224426439437,50.762375102264016,482.74548225,14.306912284411545,0.23530472969131996,0.05179823984001693,17,4,-75.0,0.002244400416697138,0.0,0.0,0.0,6366.184043521003,6365.351549063047,0.832494457956101,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2651.6328011850997,-3.233863220898612,50.76234105863588,482.95634125,14.289455769397994,0.23528250248630903,0.05181568265763851,4,27,-75.0,0.002241666222674297,0.0,0.0,0.0,6366.18263921924,6365.351561541439,0.8310776778012183,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.2339478,50.7623291,483.0304105,14.283323752388199,0.23526491230143623,0.05183374939045198,17,11,-75.0,0.002240705771848739,0.0,0.0,0.0,6366.182145924771,6365.351565924771,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.2339712171372756,50.76232469184181,483.05712525,14.281605050466961,0.23525856800348088,0.05184026556619871,5,24,-75.0,0.0022404354000991537,0.0,0.0,0.0,6366.18214753955,6365.35156753955,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.23414437058419,50.76229209657725,483.25466225,14.268896444868352,0.23521165633164387,0.051888448154786736,4,27,-75.0,0.002238436189015472,0.0,0.0,0.0,6366.182159479715,6365.351579479715,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.2341976824334955,50.76228206089004,483.3154815,14.264983619113924,0.23519721279601574,0.05190328299029087,17,19,-75.0,0.002237820656134538,0.0,0.0,0.0,6366.182163155947,6365.351583155947,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.234231323791068,50.76227572807385,483.35386025,14.262514510050213,0.23518809849679323,0.05191264421133693,20,16,-75.0,0.00223743223663653,0.0,0.0,0.0,6366.182165475758,6365.351585475758,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.2342376532268284,50.762274536589445,483.361081,14.262049960806902,0.2351863836916964,0.05191440547341212,21,31,-75.0,0.002237359157651669,0.0,0.0,0.0,6366.182165912218,6365.351585912218,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.2344344,50.7622375,483.58553375,14.247609721888251,0.23525910083093968,0.05197927829208931,17,11,-75.0,0.002235087540559363,0.0,0.0,0.0,6366.18217947931,6365.351599479311,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.2345659030777307,50.76222400720554,483.706576,14.23824961349739,0.2353066245908847,0.052014930308008016,11,14,-75.0,0.0022336151094851384,0.0,0.0,0.0,6366.1821844219385,6365.351604421939,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.234725933449155,50.76220758738521,483.85387625,14.226858993230488,0.23532806668651093,0.05199725302455242,4,27,-75.0,0.0022318232602313356,0.0,0.0,0.0,6366.182190436784,6365.3516104367845,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.234743936020567,50.76220574024216,483.87044675,14.225577608622297,0.23532424221837517,0.05198479957991831,17,19,-75.0,0.0022316216866558655,0.0,0.0,0.0,6366.182191113423,6365.351611113423,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.234743936020567,50.76220574024216,483.87044675,14.225577608622297,0.23532424221837517,0.05198479957991831,17,19,-75.0,0.0022316216866558655,0.0,0.0,0.0,6366.182191113423,6365.351611113423,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2650.0,-3.2348798,50.7621918,483.995503,14.21590710055627,0.23529537926050995,0.05189081442041654,17,11,-75.0,0.00223010042686,0.0,0.0,0.0,6366.182196219958,6365.3516162199585,0.83058,1010.0,-960.0,152.0,-166.0,-175.96,-0.9,256.816,-0.094
4066cd,TOM3KM,2645.25754551058,-3.234977968807931,50.762173683823846,484.09413875,14.208633222833218,0.23527261414884015,0.05181668540490288,20,27,-75.0,0.0022289682818278306,0.0,0.0,0.0,6366.180757363915,6365.351622864044,0.8291344998716247,1010.0,-960.0,152.0,-166.0,-175.78,-0.9,256.816,-0.094
4066cd,TOM3KM,2643.681347080504,-3.2350105961154334,50.762167662745846,484.12692125,14.206215682575696,0.23526504795429798,0.05179204794382943,20,31,-75.0,0.0022285920029987334,0.0,0.0,0.0,6366.180279146857,6365.351625072267,0.8286540745901376,1010.0,-960.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2642.165706018618,-3.2350419698854145,50.76216187299699,484.15844425,14.2038910239457,0.2352577724521077,0.0517683570512673,4,27,-75.0,0.0022282301807603558,0.0,0.0,0.0,6366.179819302844,6365.3516271956505,0.8281921071944748,1010.0,-960.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2642.1174211936845,-3.2350429693812908,50.76216168854896,484.1594485,14.203816965688898,0.23525754067140553,0.05176760231412758,21,16,-75.0,0.002228218653939213,0.0,0.0,0.0,6366.179804653276,6365.351627263296,0.8281773899798349,1010.0,-960.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2636.295127139221,-3.235163490868218,50.76213944738567,484.28054325,14.19488685257673,0.23522959202695995,0.05167659439254368,17,19,-75.0,0.002226828723618469,0.0,0.0,0.0,6366.178038174968,6365.351635420216,0.8264027547520345,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2626.296129617288,-3.235370470116922,50.76210125121514,484.488507,14.179550598852016,0.2352288248618757,0.051710195219839765,0,25,-75.0,0.0022244417074865513,0.0,0.0,0.0,6366.175004488922,6365.351649428615,0.8233550603073493,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2353973,50.7620963,484.5154645,14.177562622294642,0.2352299609508756,0.051719518300241865,17,11,-75.0,0.0022241322882373977,0.0,0.0,0.0,6366.174611244467,6365.351651244467,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2354107517080113,50.762094322869764,484.5261855,14.17658969058324,0.23523041277356566,0.05172322609009593,11,14,-75.0,0.002223979237339626,0.0,0.0,0.0,6366.174611968722,6365.351651968722,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2354107517080113,50.762094322869764,484.5261855,14.17658969058324,0.23523041277356566,0.05172322609009593,11,14,-75.0,0.002223979237339626,0.0,0.0,0.0,6366.174611968722,6365.351651968722,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
